,0
802,united would helpful could refresh boarding time info boarding pass delayed flight
803,united 18 flight far year 13 delay including 2 cancelled flightations late flightst reason crew needed mandatory sleep mexico
804,united great hear thankyou much greatly appreciate reply feel much settled
805,united counter agent rdu deserve medal thankyou
806,saga melissaafrancis bag delay w united reunion forced go shopping stay tuned
807,united flight 211ord gate agent tried prevent taking onboard bag ive used 15 year flight crew reasonable
808,united thank literally called preboarding ran
809,united guy split charge credit card making unnecessarily expensive people fly guy pt
810,united ua381 14 feb point overselling flight bad making people wait 1hr kick boarding worse
811,united thats brilliant thankyou much classed part carryon
812,united thank listening compliant right thing appreciate working
813,united weve since 3am youve cancelled flightled flight twice
814,united chance wait ord afternoon another flight screwed hold 5396
815,united ua5396 wait im ground trying get gate moved b crap
816,united mex nrt date tbd im getting 200 300 usd difference quotation september compared mex bkk
817,united better keep connection ord fwa board ten minute open get plane landed hour late flight
818,united united gold number ive hold 24 minute think may lost nowhereland gold reservation help
819,united great im ready go home
820,united wow even answered back awesome americanair usairways thats customer service usairwaysfail
821,united noooooooooooooooooooooope
822,united oh sure planned occurs absolutely consistently usually yyj flight thats cancelled flightled daily
823,united jms2802 outsource united airlinesyour customer loving outsource outsource outsource
824,united thank need follow back tho otherwise cant dm x
825,united getting better id suggest get senior manager gate retrain gate people
826,united jms2802 nothing like supporting mechanic maintenance workersinstead united put video timco wifi
827,united sent thanks
828,united already missed connection ugh
829,united jms2802 sure show video outsourced favorite timco knack substandard maintenance work aircraft
830,united formally complain customer service handler misconnected denied boarding amp lost bag help
831,united lot unhappy cold people bridge freezing temp hour given info
832,united flight 3763 iadsat outdoor track hour
833,united seriously 2015 wifi 5hr flight clesfo 1589 youre airline wout wifiand pls unwind b
834,united u would able rebook get home sooner 2hr delayed flight linesforever customerservice fail
835,united youre reason whole travel experience nightmare
836,united pointless tweet least americanair asked follow try resolve
837,united thats even apology
838,united thats cool
839,united seriously 2015 wifi 5hr flight clesfo 1589 youre airline without wifi
840,united b4 boarding attendant took shoe ampsock desk showed agent foot gross httptco755vpym4mv
841,united unitedairlines 620 pm 1220 ord abq 3709 cant even take walk without missing change
842,united hopefully baggage fee waived tomorrow actually get flight well compensation hotel room
843,united either fine however plundering hardearned dollar fine
844,united sfoyyj fight cancelled flightled several time week even bother
845,united waiting new pilot door plane broke global service status airline thats unsafe stunning
846,united get reimbursed hotel taxi cancelled flightation
847,united awesome flight crew ua1589 plane jurassic period called want dinosaurplane back
848,united 2015 united unable look flight reservation passenger name yyz checkin counter wow smh customerservice
849,united eticket 0162389030167 refund request 16866853 case id 8465981
850,united phone hour customer service cant figure awesome service
851,united really know piss people farelock option fake
852,united last week shanghai sfo 858 delay 5hrs bc engine today sfosea delay sick pilot compensation care
853,united thing confusing lost priority boarding im mileage plus card member
854,united hoping hear actually
855,united shes rescheduled today frigid cold possible reason maintenance could issue 2day
856,united fact international bag sense whats going maintenance
857,united b contacted directly phone service laissez faire best problem isnt cancelled flightled flight
858,united shes international phone fritz get chicago nearly 4 hr away figure everything
859,united sorry delayed response ua 381 chicago san fran held almost hour tarmac also lost bag
860,united okay thanks could please update told airport someone would call today havent
861,united thank much help pick bag aspen airport amp coming today flight911
862,united gate c 24 iad u released passenger board wothers deplaning 50 peopleon bridge next flight board httptcohfof33iyhi
863,united id say public cant extend vacation week point advertise multiple flight cant honor
864,united cancelled flight flt ewr crewtells wife amp 4 yr old get ny catch aircanada yyz good customerservice dead
865,united arriving day half late flightr supposed lesson day dont believe verbal written confirmation united
866,united arriving airport 2 hour departure time still missing flight bc actually dont electronic ticket
867,united 175 hour delay nothing say sorry like voucher missing time family family precioustime
868,united two whole people trying schedule flight worth missed connection shameful httptco6kqlhvap7g
869,united unfriendly screw family hate kid mom waiting ua871 pray better fyvrfn due agent error tickt
870,united gate agent ewr disabled wheel chair time board please step step lol
871,united wont helpbeen done
872,united force u check baby bag overbooked flight complains wife need much baby united baby meal
873,united would love help getting today ewr take airline connection thx
874,united today take flight san francisco refuse let u board baby early time board wont let u take baby carryon bag
875,united four scheduled flight reservation literally take one unreal
876,united ord hotel issued 4yr old ticket needed fixing another hour 5 agent l8r nightmare still
877,united 3 hour rebook 8 hour l8r problem arrive gate stopped cause infant sitting 4 yr old lap
878,united arrived yyz take flight taiwan reservation missing ticket number slow agent sukhdeep caused u miss flt
879,united thank
880,united thanks update
881,united three people awesome working long hour easy say sorry twitter help ppl ewr
882,united guess excuse understaffed costumer service 3 people deal lot angry passenger weather
883,united cancelled flightled wife daughter flt whats going follow dm detail
884,united departed awaiting inbound plane yesterday three hour never arrived stay overnight
885,united confirmed seat crisis averted beer wont missed
886,united english ill dm though dont think youll make plane appear
887,united look like today 6th consecutive delayed flight youdo win prize southwest air dont fly sba
888,united sitting plane pilot thanks waitingonapilot denver siouxfalls whyairtravelsucks
889,united understood thanks tried reaching sooner
890,united already done answer got oops give mile sorry pay discomfort 9 h
891,united received hotel food also email 3750 mile last trip 3 hr delay 5000 mile le cancelled flightlation
892,united know ua5282 delayed x2 getting crazy ive already 2 overnight delay unitedairlines
893,united frustratingly delay happened either gate even onboard aircraft head advance
894,united den b44 agent 930am amazing mpagent check suck seanmfmadden peterstraubmma jmercadomma tonysimsmma
895,united ua3426 219 also delayed 2 hour stretching trip way past midnight extremely exhausting
896,united ha rebooked 11 hr layover amp robbing night family late flight fly time
897,united switched fly united delta past two trip disappointed ua4646 223 delayed 3 hour
898,united traveling megzezzo injured gate agent chicago awesome helping ty roadwarrior
899,united unitedairlines long will1531 delayed
900,united isnt flight status updated delayed ua1532 board
901,united paid economy plus put last boarding group gate check bag virginamerica know better
902,united travelled scl iha feb 17 ac sit 21l night complaint fa never gave real answer help
903,united suck 9 hour delay
904,united worst airline world crap website worthless app late flight flight suck shut
905,united jh thanks much reaching able get assistance waiting 70 minute
906,united 3866 stand still pilot paperwork fix 25mins problem fixed 30mins ago flight delayed
907,united reasonable wait 45 min bag made check flight staff couldnt police overhead bin
908,united please msg customer service invoice dry cleaning wont able take wet clothes airport
909,united hour delay cant print piece paper
910,united still response
911,united able get seat assign without paying 174 cust sec done
912,united reference number agent told drive airport cant reach anyone deliver
913,united slightly better crew spent long time searching better altitude would helped let pax sharp drop
914,united credit card charged transaction told would charge go contacting
915,united pqms pqds longer showing correctly mileageplus acct get fixed
916,united thanks
917,united 768 sfo bos internet 2015 give
918,united worst worst reservation policy worst costumer service worst worst worst congrats delta youre bad
919,united trying makechange reservation getting extremely frustrated giving trying another airline
920,united got email update still eta communicationdetails apology info compensation right would go long way
921,united late flight crew btv last nite delayed today flt miss connection cun play hotel tonight ewr
922,united arent called check worstcustomerservice
923,united passenger rerouted match intended arrival time even incur cost put u airline
924,united solved finally picked second time called thanks response jh 721 dulles work
925,united need work united flierfriendly program least clue flight attendant
926,united space doctor note everything first trip lost first suitcase among issue pleased united
927,united new flierfriendly garbage cry get attendant find place medical supply limited overhead
928,united epic fail reagan jetway 15 min tarmac
929,united thanks link finally arrived brussels 9 h schedule
930,united 2nd flight two week lost bag taking 1k status americanair neveragain worstcustomerservice
931,united ua1130 flight nightmare poor customer servicehaving confirmed seat given away issue
932,united best customer experience via twitter huge fan
933,united flight 683 last night bad4business long time recommend united anyone
934,united beyond frustrated sked change seat earlier departure double layover course seat cust svc help
935,united working lisa j ord shes working hard u still disappointing 634 ewr
936,united love new 1st class breakfast
937,united emailed customer care via website form long wait rachelle resolved issue im still irritated w united
938,united flight cancelled flightled updated one get bwi late flight id fine dca iad arriving earlier help
939,united jj standing joking finding humor
940,united point made home
941,united thanks looking getting back via dm glad hear bag finally delivered thanks
942,united would like talk customer service agent service non service received last flight week go j
943,united cancelled flight flight wait line get rebooked im front make go another gate lose place
944,united wasnt comment question thanks copy paste response
945,united failed last week iah next intl trip delta small ual flight lax booked thats
946,united supposed board 605 brought plane hanger wtf know flight1153 laxewr
947,united flew sdf atl tampa delta left early arrived early crew helpful wifi worked
948,united starting without robotic response
949,united cant control turbulence control customer experience lot scared people
950,united currently ua862 20 minute worst turbulence ive ever experienced zero communication flight deck
951,united yes looking ticket agent terminal dismissed u missed chance miami flight dr
952,united told twice issue resolved twice write email bounce worstservice
953,united flight 433 let go look like clown one giving 1st class 500
954,united im hold 4th time waiting resolve issue flight 6yearold son terribleservice noservice
955,united cool thank
956,united id like thank recognize terri p dulles going way get back raleigh flight
957,united freq flyer make sad see cust needing assistance treated poorly servicefail
958,united day 3 saga maybe theyll finally make homeintentional gonna get back vacation day badservice
959,united thanks im sick company lousy excuse customer service im never flying united
960,united current hold time speaking rep tix reissued 42 min long amp make option available online
961,united understand ppl make mistake dont code something way cant get reimbursed fault blatant lie
962,united also forgot add bag probably going sit new jersey missed connection
963,united jx4s2t today would great honeymoon delay put damper iy
964,united whats shared pilot passenger
965,united receipt upgraded return leg 6 month late flightr still receipt httptcodajwzhlvyu
966,united book flight reserved seat go check find seat wtf
967,united theyre actually gate agent rude standing line waiting reflight booking problem missed flight sti awful
968,united im sure anything building time promise ceo service gotten worse
969,united wifi 737800 aircraft 3511 didnt work entire orddca flight morning
970,united cancelled flightled direct flight newarkbrussels last night 7 hour behind schedule eu compensation would given u
971,united may dislike delay paid agreement paid got destination certain time
972,united epicfail cx flight frankfurt san francisco going chicago flight crew hour due deicing delay
973,united im aware flight detail thanks three hour late flight crew could give le shit
974,united making sure flight arent delayed due poor maintenance would start
975,united hilarious
976,united hahahahaha ya tried already
977,united bag may may airport unfortunately one airport picking phone responding message
978,united funny paid check bag flight 1086 begging folk check bag free 1 hour flight notcool
979,united nope need little red stamp counter check wreck son httptco0prgysvurm
980,united wasnt trying cancelled flight trying change award ticket date place thanks sending link know fee
981,united unhappy new mileage rule main reason keep flying united take business elsewhere
982,united need assistance due incompetence need reschedule connection never fly united
983,united youve officially displaced deltaassist better flight experience pleasant cabin crew timeliness ua 1m switching
984,united need bag bouncer get together
985,united showexpert going uniteds mileage program pay 500 ticket get fraction pqd credit
986,united need retrain flight attendant saying room carry ons actually cool
987,ua3388 united cancelled flightled delayed reflight booking problem still 90 mile home least acknowledge cancelled flightlation
988,united never ever flight booking problem flight united affiliate chance get united flight
989,united able send dm good
990,united three delayed flight missed connection first class flight get compensation losing seat
991,united hold hour day sort told fine fine arrive fly
992,united almost 2 week still word dot update london fare u city update end
993,united well start would nice ticket actually system change flight
994,united another awful experience victoria check desk stl could rude condescending
995,united want deliver house go sombrons else house
996,united michelle t1 ord train staff treat customer refreshing pleasure deal
997,united guess follow order send dm tried wont send
998,united stopped flying united 1 yr ago bc aggressive policy carryon bdl listening pssngrs forced chkpreboardnotcomingback
999,united sent message bag tag looked
1000,united sent message facebook follow complaint missing clothing checked baggage
1001,united check online still wait line hour check counter fuckinlame naiamiaa
1002,united poor customer service think befor flight booking problem another united flight
1003,united booked flight start red eye lax bos reclining seat lastflightwithyouever
1004,united efficient layout kiosksbag drop line would help definition space additional friendly helpful staff
1005,united 75 plane passenger boarding premier group might indication broken process
1006,united ewr agent barbara fabulous example cust serv pleasure talking httptcokmquly9g5e
1007,united cancelled flightled flight cause crew needed sleepbut totally okay wake 3am let know cancelled flightled
1008,united changed last name mileageplus acct site hour bausa hold 20mins 5 day amp change yet
1009,united flight landed 13 hour ago 2 flight cmhiad last night still bagcould driven cmh
1010,united update suitcase today please
1011,united literally suck
1012,united thanks upgrade today great way start week cc ciscojimfrench cobedien
1013,united maybe hiring ground staff lax multiple gate agent tell baggage loaded expect hopeless
1014,united would encourage reinterview sole flight attendant ual 6166 buf ord blatantly stable uncomfortable
1015,united second time flight cancelled flightled like really
1016,united really 1st flt frm iad 2 iah late flight amp going via nashville inconvenience downgraded ticket
1017,united impressed superfast reply cgjase
1018,united hi jp help awesome tsa representative able get taken care thank
1019,united first complaint filed feb 11th 10 day still responsedisappointed surprised
1020,united morning 4603 delayed 7 hour get newark 10am meeting
1021,united please stop spending mktg branding ad use saving improve cxp 1hr wait luggage due short staff unacceptable
1022,united 430am wife still doesnt luggage promised 8pm said way file number dca48810m fail
1023,united trying change flight online got error help via dm
1024,united staff rather efficient got u solution freaked little limbo air
1025,united terrible
1026,united im glad didnt mean doesnt excuse inefficiency took 70min bag arrival flight
1027,united attempted book ticket 3 time kept getting error message hope didnt still charge
1028,united friendly efficient air attendant coach ua992 httptco49pv3kchnr
1029,united coach interior ua 992 looked like salvaged 80 tiny unusable video power amp lifevests floor ua992
1030,united two dozen back line see single csr reflight booking problem final leg kiosk fritz
1031,united plane newark checked rebecca levi bag name
1032,united aaaand 7 hour late flightr wont catching flight til 6amstuck airport snowstorm hotelhows patience
1033,united delongerry ual suck
1034,united happening delta took care u peace
1035,united rebooked bos uggh 3 hour bus wmass home could flown bdl amp back dc time unitedairlines
1036,united lost bag never ever flying united joke
1037,united appreciate changing time 10 min multiple time 6 hour flight annoying seems like 0 clue
1038,united missed ua1568 connection due 2 mechanical failure ua1543 uplink prob lose 400 client mon compensate
1039,united jacked cousin trip portland cancelled flightled return trip united
1040,united yes headed deice 5 minute sent made austin waiting luggage
1041,united cancelled flighted flight 2 delay lost luggage youre worst disgraceful awful company horrible service
1042,united doesnt help 100 passenger arrived hour late flight
1043,united 40 minute tarmac thats 9 hour delay
1044,united glad took care rescheduling ua 1580 ogg cancelled flightled httptcoh3k3owohd1
1045,united tried filling status match form got hit error message tell went httptcojbdkxd6efz
1046,united flight 746 going sit tarmac forever
1047,united one worker refused give name reference note tone amp language unprofessional
1048,united thats blame company every opportunity job managed fail time lazy reason
1049,united wanna grand staff
1050,united sf crew lack lot customer service lax employee lot better wonder
1051,united thats missed flight flight held 5 minute would made watched pull away gate
1052,united also didnt ice frozen metal walkway wasted 40 minute one knew simple job
1053,united ground crew inept left truck sitting tarmac didnt gate agent got gate
1054,united wanna ride united airline love airplane
1055,united 2 day 1 flight cancelled flightled another delay 8 hour united gave 7 food voucher thats much value time
1056,united checked security wrong name given wrong boarding pas airlinesecurity
1057,united hell flight 746 delayed since 3 pm finally boarded sitting tarmac fampampcking plane ever leaving
1058,united actually flight cancelled flightled httptcoqf0oc2hqez
1059,united loyal premier platinum member lack communication really bad also see taken yet
1060,united thanks changed managed arrive 8 hour delay exhausted
1061,united 2nd time rebooked wdelays reason unrelate flightd weather go requesting flight voucher
1062,united consider 50 min bag 1000pm sunday night fast reconsider think mean
1063,united horrible attitude staff delay level service respect one expects united
1064,united want loyal dont let carry bag easily fit overhead
1065,united top paid 1st class wife got stuck coach
1066,united ph pat answer b denied boarding sat gate 905 employee totally suck
1067,united last week united provided worst customer service experience life disgusting united
1068,united 24 hr since flight landed zero info missing bag rough eta would hugely helpful restore confidence
1069,united big surprise nogate waiting plane fucken issue everything fly fail worstairlineever
1070,united belabor pointbut shouldnt able put laptop bag seat announced leave roller thx
1071,united maybemange airline alittlebetter arrived lax gate howisthatpossible always thing wu
1072,united checked united app valuable use app removed longer see status equipment
1073,united even running gate connecting flight customer service let u plane parked stranded
1074,united im desperately trying understand girlfriend treated cancelled flightleddelayed flight unacceptable ord
1075,united nope chance airline messed way trip
1076,united announce roller want put coat isnt choice gate checked thx
1077,united youre early frontrunner best airline oscars2016
1078,united bag left behind plane overweight great knew soon landed instead letting u wait 45 minute info
1079,united fampking joke customer service woeful staff tell passenger something
1080,united sponsor oscar wonder half hour delayed oscar
1081,united worked like charm bag waiting carousel got baggage claim welldone goodflight friendlysky
1082,united lose bag wont give free pretzel fraud
1083,united trying charge 150 buck lowered award ticket want get hard earn point back total b
1084,united asap mean two hour worth delay return terminal count luggage third time gottogetbetter
1085,united apart hold 2 hour talked 5 people problem still resolved
1086,united typical caned response ua fix crappy performing last placedranked airline century
1087,united even legal guy advertise flight cant honor
1088,united customer service worst hanging customer intentionally one hour hold
1089,united forced book flight different date originally planned higher price 1130 felt like bait switch tactic
1090,united love dont give shit people tried loyal screw every way till sunday glad ive stayed away
1091,united tried different flight iahmnl 411541715 6 flight advertised 1038 bookable due partner error
1092,united different airline
1093,united told case week still resolved
1094,united clicked upgrade didnt upgrade give httptcon7osjz8a59
1095,united advertise flight still website still cant book spent 2 hour united support
1096,united tried book flight iahmnl departing 33115 returning 41715 advertising 9 flight 1051 cant book
1097,united quick serious question resourcesratings showing quality service better 8th place httptcodewithpew2
1098,united yes calling regard speaking someone even unfortunately bounced around
1099,united flight 472 ord couldnt let know found via app minute landing awful flight httptcodqjl8vz2h2
1100,united need help spanish
1101,united disappointing experience plane mech delay next one didnt wait sincere apology told complain online
1102,united lost sunglass flight okc iah morning 8am takeoff way retrieve
1103,united ua1731 denver austin still ground
1104,united either staff whoever contract pvd failing big time tonight
1105,united considering currently gold delta make jump upcoming flight sfo singapore
1106,united worst flight ive ever ground crew ignored plane made miss flight cover cost hotel den
1107,united customer arent dumb revenue based program hurt everyone gonna save money like think
1108,united problem flight ua 1580 called rebooked found hotel taxi
1109,united thanks help cheer
1110,united bull crap spent 600 recent trip thats small change got 10000 aa mile would 6600 ua
1111,united yes terrible service courrier
1112,united compensate u new clothes bet wont
1113,united 8 flight next two week let make good memory
1114,united stuck ogg look like flight cancelled flightled help
1115,united yea booked 10 next avalible flight since sat 7am time come plane 2nd day work missed hotelliving
1116,united currently cry wanted ski tomorrow prolly boy tryna fulfill dream
1117,united tried online tracking said something like attempting locate luggage
1118,united worker told u call wed talking someone thailand
1119,united going 3 day tomorrow still havent received bag flight toronto would love see seriousness
1120,united nothing compensation given circumstance feel like must something
1121,united disconnect pr group actual business strategy employee attitude ground liar united
1122,united go 2 3 segment sfonew york rt delayed 2 hr suck badmaybe another line bus
1123,united really screwed dealing mechanical failure maui san francisco poor communication bad help getting connection
1124,united dont like delayed bag let happen much
1125,united delay due customer service 20 people disservice provided 100 flightfail hour20delay
1126,united excellent reliable happycustomer
1127,united united doesnt give 2 shit customer
1128,united funny none ur tweet back helpful want read ya well change customer get better service
1129,united delivered thank making sure arrived doorstep
1130,united really need get act together really disappointed change flight delayed flight etc
1131,unitedrebooked oma 180 mile destination spotty customer service get staff stressor come business
1132,united looking reason travel quote httptcogguig3t28z
1133,united cant find late flight evening flight airport would overnight flight
1134,united thanks vague canned response doesnt address issue
1135,united thank
1136,united thats good enough u affected awful organization timing set back
1137,united otis baggage claim bay 8 happy nearly pissed
1138,united time le important strandusindenver hourandtenminutedelay flightfail
1139,united airline kidding bagage lost morning ny washington still trace badservice
1140,united took hour half though
1141,united never held plane hourdelay multipledooropeningandclosing dangerofgettingsnowedin
1142,united got nothing dissapointment
1143,united fucking bag fuck fucking bag tell give number call human san68059m
1144,united sincerely thanking pilot flight 4461 braving snow getting home amongst many cancelled flightlations
1145,united madeit gate 823 wouldnt let u httptcoxatoxbnsfa
1146,united time give 1k status switch delta terrible cant even describe
1147,united thanks lol ua6259 wait u per flightaware tail number ua5525
1148,united suck flight delayed equipment probs miss connection 2 minute wont let u even though gate
1149,united 1758 going 40 min waiting plane vacate gate findanothergate
1150,united flight 2 230 hr delayed far bc late flight crew literally waiting dinner acc honest gate agent
1151,united many people ua6318 going miss connection due long wait time sfo tarmac seriously u cant find empty gate
1152,united youre trying solve problem making charging checked luggage force checking gate brilliant
1153,united weve waiting 45 min gate sfo yet many free excellence operational efficiency showing
1154,united delayed due customer service huh httptcoxltv5z6st1
1155,united poor customer service checkin kansa kci thats
1156,united except delayed flight anyway
1157,united maybe find different gate ua1758
1158,united sent message irresponsible suitcase cannot found truly worst service ever fedup disastrous
1159,united landed den time stuck waiting gate 30 min maybe update would good idea capt
1160,united wanted point one united crew sympathetic question unanswered mileageplus starting look like joke
1161,united get explanation ua978 são paulo houston delayed hearing crew cancelled flightlations
1162,united flight 1180 ewr mco cancelled flightled tomorrow rebook asking relative
1163,united understand intent inconvenience catching cab back airport show wet clothes wasnt option
1164,united wife landed dc 5hrs ago luggage told would b deliveredhotel 8pm 10pm luggage ua484
1165,united sure people row 7 paid premium seat cant use overhead space httptcoi9s86kihge
1166,united cheap couldnt afford run ac ua1510 took pressure cooker new level cheap worstairline
1167,united sunday husband travel chicago he stuck tarmac amp miss connecting flight always
1168,united well tell customer service rdu airport horrific exception ohare chicago
1169,united sitting ual 683 comedy error ual incompetent
1170,united ua3785 tonight told delayed due late flight crew idea crew coming staff unhelpful idea
1171,united take look status 683 sitting ord aint cool yo
1172,united bummer thank quick response
1173,united didnt time take wet clothessuit back airport wasnt going pay another cab
1174,united didnt realize bag content wet got hotel sent suitshirts dry cleaned mtgs start tomorrow
1175,united load plane ord knowing pilot 2 hr late flight discover plane need fueled wtf united incompetent
1176,united resolved im sick tired waiting want refund id like speak someone
1177,united im really glad waited phone hour sent voicemail customer service suck nothing
1178,united caused riot airplane never seen anything like
1179,united instead sending inaccurate email delay every 5 min say get get
1180,united glad ive waiting 1 hour 15 minute ive transferred 3 time without resolving anything worst service ever
1181,united still need help hung twice customer service rep said way help gate rep phone rep
1182,united let u know advance reboot yes thanks attentiveness
1183,united lol little late flight
1184,united yes bag came 1 hr arrived baggage claim awful experience ground bhm
1185,united fernheinig18 delay due making back gate multiple time maybe take accountability
1186,united give leg room 4 people row fill bin pls start charging httptco2ny5tuxfqf
1187,united please tell clt flight 4232 need gate waiting 15 min
1188,united load u flying sardine knew pilot 2 hour late flight incompetent beyond belief
1189,united seat god awful
1190,united good try southwestair got safer sooner
1191,united wanted compliment ur phone agent jeanette reflight booking problem rdu sea thru sfo connecting flight thru ewr cancelled flightled
1192,united 3 hour 45 min delay far would love round 4 hour go bed
1193,united im ua1118 direct tv isnt working avoid future
1194,united truly drunk uncle boarding dont believe gate agent overhead full dont reserve aisle httptcocdzhtyd0ak
1195,united sure
1196,united option co tonight doesnt look like ua5525 make time ua6259 reserve hotel room
1197,united appreciated case waited extra 55 minute lost mechanic fax log faxlike 80
1198,united customer service suck hang waiting hour talking 5 minute
1199,united jp dm message cant get dm united
1200,united strike board anyone there something wrong plane common sense
1201,united thanks miserable trip gnvltltltfsd 219221
1202,united missed ktm flight due ur cancelled flightlation mike supervisor disgusting day late flight apology upgrade offer lhr ord
1203,united social medium team point oscarnight
1204,united always happy start life new wife 5 hr travel delay due maintenece would appear incompetence
1205,united airline oscar doesnt carry abc direct tv fail cant watch oscar united
1206,united last time fly unitedairlines screw every trip stuck ord miss work
1207,united understand intention pale comparison day lost wage wife delay
1208,united need help missing bag
1209,united given
1210,united changed entire flight plan vacation alone day night early nowhere stay help
1211,united ua647 heading back gate bc improper load ur packing u gill least take care load bag expecting comp
1212,united worst airline sitting plane houstonbush airport hour half waiting late flight passenger
1213,united might possibly worst service planet
1214,united deceptive marketing practice promised booked flight would retain status granting neverflyunited
1215,united hey many time change ua 1534 going tonight mia ewr
1216,united would sent next flight haydensteamboat hdn denver im hoping
1217,united pick bring shuttle went double check said still concourse
1218,united honestly couldnt tell know originally going brought concourse
1219,united missing day vacation see husband delay stuff happens get wish handled better
1220,united ua1534 11 different departure time wtf make mind
1221,united thanks making everyone wait dark hour newark try figure gate go incompetence
1222,united thank following
1223,united claudia iah terminal b travel assistance set great service thank
1224,united doesnt daughter booked gold member mile get upgrade list flight tomorrow
1225,united point 56 flight past week last one really suck shit
1226,united thought american bad horrible service 230 min late flight excuse
1227,united ua1565 iah gt sjo delayed like 15 hour crazy
1228,united dont know flight detail bc need explore option im unable bc site wont let meseems ongoing
1229,united free wifi flight delayed 20 min allowed
1230,united cdglas 42 hour luggage sfo ive wearing clothes 42 hour thank flythefriendlyskies
1231,united airline joke friend trapped houston since 7am sat flight sight unitedworstever trappedhouston
1232,united hate passenger
1233,united plane sitting hanger day numerous mechanical problem doesnt anyone actually maintenance
1234,united future delay cause 15 hour wait slept night airport ensuring seating choice replacement flight would good
1235,united flight delayed keep changing delayed delayed checkin time late flightr httptcontuix5dbyr
1236,united long day delay please get u dallas tonight finger crossed winterstorm2015 whichisworsedenordfw
1237,united flight time changed without official notification almost missed flight morning cool
1238,united record denver concourse prior gettin shuttle want confirm location
1239,united needed steamboat meeting 3pm took shuttle united customer service people said bag would
1240,united good word describing angry pissed customer made
1241,united late flight 2014 2015 huge step towards decline service agent arrogant ever unitedairlines
1242,united denver baggage handler totally impressed u today lung barely made run connect bag problem den
1243,united flight 3870 newark stuck runway miss connection sorry inconvenience
1244,united false
1245,united sitting runway newark wont let plane gate connection board 1 minute united hate u
1246,united thanks first time united lounge felt welcomed
1247,united ana ticket holder get use lounge u united booked u grumpykim
1248,united never flight delayed hour due unbalanced load delay flylaxairport great job idiot
1249,united 100 failure 2015 unitedairlines
1250,united cancelled flight flight anytime keep night httptcoavrtowtyzk
1251,united guy suck 2 12 delay get er didnt even curtesy let know unitedairlines
1252,united unfortunately bad experience flying saturday inpolite crew bad delay
1253,united seriously 45 min plane bhm 30 min baggage still bag worstairlineever
1254,united thanks updating 1 hour delay exact second got atl
1255,united nippon booked united replace one missed
1256,united subtlety gate change kidding
1257,united good 15yr friendly sky relationship 2day agent told im canadian thus good enough military preboard
1258,united yes trying upgrade seat available spot
1259,united rikrik made come help anything jp inconvience
1260,united rikrik made come help anything jp service hasnt great
1261,united think im flying help
1262,united resolved hour work ground amp somehow system reset takeoff appreciate quick responseservice
1263,united always fucken nightmare airline fail lazy alwayslate flight worstairlineever
1264,united told checked soon allowed seat available plane except middle
1265,united everytime fly ur airline hate even thanks terrible service flight 1071
1266,united really bumped gold status asked pay keep get fewer mile worth
1267,united always surprise awfulness airline guy suck worst
1268,united would get early enough green tag go otis would still sitting ord
1269,united add earlier tweet daughter 5th bday present thank hard work making happen
1270,united guy named otis ord know customerservice able get bag upgraded sure
1271,united lpdstock tweet bot obviously dont get sarcasm making computer like real people
1272,united wonderful job today got wife daughter pgh orlando flight delayed luggage
1273,united customer service whats
1274,united overflight booking problem plane departing delayed returning quick fix amp breaking attitudycustomer service worstairline
1275,united pay cab back airport show baggage dept wet shirt suit viable option 2nd time happened
1276,united thats said year losing customer
1277,united lack customer centricity u astounding
1278,united httptcouygew2nosr
1279,united would nice staralliance partner ticket dont provide full pqm credit obvious purchase lost 1200 mile
1280,united nope even better 4 seat due wampb first raise hand got move wasnt fast enough
1281,united maintenance issue flight 5639 issue passenger miss connection needing get
1282,united look beauty dc10 united airline hope like beauty httptcons1acfqcdq
1283,united seriously whats slow wifi flight speed going change worse price shouldnt go
1284,united 5 hour 3 gate 3 plane late flightr still update explanation apology worstairlineever unitedairlines
1285,united gate attendant snobby remark customer service like playing poker sister kid
1286,united poor cabin luggage service ua1266 bos forced check even empty space bag overhead
1287,united still heard anything anyone united erieairport
1288,united every time search flight site log give error message book different airline cancelled flight card
1289,united last seg flight denver den haydensteamboat hdn 8am got cancelled flightled need help finding luggage
1290,united 8 hour late flightr im siting another plane waiting leave think credit order terrible service
1291,united waited 40 min bag 45 min flight nomorecheckedbags
1292,united let also pls inflight live tv ua469 denewr watch oscar
1293,united cancelled flighted 1 arrival shv tonight amp 1st departure flight mon feb 23rd check airline flight status
1294,united lovely part long day attendant ua5168 ua795 beyond exceptional today givethoseladiesraise
1295,united trust enough put coat checked bag
1296,united yes amp theyre unsure would comethis never happened airline first time united disappointed
1297,united course interesting united doesnt seem good sense whats happening flight
1298,united pushing five hour time worth nothing reflight booking problem option unfortunately
1299,united finally made rep solved problem
1300,united guy complete as
1301,united thanks gate agent extraordinaire seau fong helping get rebooked boise hopefully home nyc sometime tonight
1302,united agent working slowly rebook people ua1481 wasted entire day stt
1303,united thank yall amazing airline know treat customer guy rock
1304,united plane came broken seat rather fix put broken sign separated kid
1305,united worst flying experience ever tried blame atc watched load bag 30min boarding 45min late flight
1306,united went customer service kiosk able help still thanks following
1307,united read day travel change policy
1308,united b737800w literally smallest seat ever dad got stuck tiny bathroom ad well disspointed premier1k
1309,united nope set thx checking
1310,united flight already cancelled flightled morning snow storm denver im dc waiting pilot get
1311,united still suck dont understand two cust service agent long line houston international b gate unitedsucks
